catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
national oceanic and atmospheric administration (noaa),national oceanic and atmospheric administration (noaa),National Oceanic and Atmospheric Administration (NOAA),US Executive Branch,Gulf Coast Ecosystem Restoration Council,,,restorethegulf.gov,,United States,,,,,,,
harry s. truman scholarship foundation,harry s. truman scholarship foundation,Harry S. Truman Scholarship Foundation,US Executive Branch,Harry S. Truman Scholarship Foundation,,,truman.gov,,United States,,,,,,,
arctic research commission,arctic research commission,US Arctic Research Commission,US Executive Branch,Independent Agency|US Arctic Research Commission,NA,NA,arctic.gov,,United States,0,,0,,,,
national archives and records administration,national archives and records administration,US National Archives and Records Administration,US Executive Branch,Independent Agency|US National Archives and Records Administration,NA,Department/Agency,archives.gov|nara.gov,nara,United States,0,,0,https://www.archives.gov/about/organization,,,
nara office of innovation|us nara office of innovation,nara office of innovation|us nara office of innovation,US NARA Office of Innovation,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Archivist/Deputy Archivist,Directorate/Office,,,United States,0,,0,https://www.archives.gov/files/about/organization/orgchart-v.pdf,,,
us nara office of the chief of management and administration|nara office of the chief of management and administration,us nara office of the chief of management and administration|nara office of the chief of management and administration,US NARA Office of the Chief of Management and Administration,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Archivist/Deputy Archivist,Directorate/Office,,,United States,,,,https://www.archives.gov/files/about/organization/orgchart-m.pdf,,,
nara office of the chief of staff|us nara office of the chief of staff,nara office of the chief of staff|us nara office of the chief of staff,US NARA Office of the Chief of Staff,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Archivist/Deputy Archivist,Directorate/Office,,,United States,0,,0,https://www.archives.gov/files/about/organization/orgchart-s.pdf,,,
us nara office of the chief operating officer|nara office of the chief operating officer,us nara office of the chief operating officer|nara office of the chief operating officer,US NARA Office of the Chief Operating Officer,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Archivist/Deputy Archivist,Directorate/Office,,,United States,0,0,0,https://www.archives.gov/files/about/organization/orgchart-c.pdf,,,
us federal records management,us federal records management,US Federal Records Management,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Federal Records Centers,NA,recordsmanagement.gov,,United States,,,,,,,
nara archival operations division,nara archival operations division,US NARA Archival Operations Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,"US Legislative Archives, Presidential Libraries, and Museum Services",Division/Suboffice,,,United States,,,,,,,
nara center for legislative archives,nara center for legislative archives,US NARA Center for Legislative Archives,US Executive Branch,Independent Agency|US National Archives and Records Administration,"US Legislative Archives, Presidential Libraries, and Museum Services",Division/Suboffice,,,United States,,,,,,,
nara museum program division,nara museum program division,US NARA Museum Program Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,"US Legislative Archives, Presidential Libraries, and Museum Services",Division/Suboffice,,,United States,,,,,,,
nara white house liaison division,nara white house liaison division,US NARA White House Liaison Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,"US Legislative Archives, Presidential Libraries, and Museum Services",Division/Suboffice,,,United States,,,,,,,
office of presidential libraries,office of presidential libraries,US Office of Presidential Libraries,US Executive Branch,Independent Agency|US National Archives and Records Administration,"US Legislative Archives, Presidential Libraries, and Museum Services",Division/Suboffice,,,United States,,,,,,,
us chief records officer,us chief records officer,US Chief Records Officer,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Agency Services,NA,,,United States,,,,,,,
us federal records centers,us federal records centers,US Federal Records Centers,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Agency Services,NA,frc.gov,,United States,,,,,,,
us information security oversight office,us information security oversight office,US Information Security Oversight Office,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Agency Services,NA,,,United States,,,,,,,
us national declassification center,us national declassification center,US National Declassification Center,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Agency Services,NA,,,United States,,,,,,,
us office of government information services,us office of government information services,US Office of Government Information Services,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Agency Services,NA,,,United States,,,,,,,
nara business support services,nara business support services,US NARA Business Support Services,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief of Management and Administration,Directorate/Office,,,United States,,,,,,,
nara information services,nara information services,US NARA Information Services,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief of Management and Administration,Directorate/Office,,,United States,,,,,,,
nara office of human capital|us nara office of human capital,nara office of human capital|us nara office of human capital,US NARA Office of Human Capital,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief of Management and Administration,Directorate/Office,,,United States,,,,,,,
nara office of the chief acquisition officer|us nara office of the chief acquisition officer,nara office of the chief acquisition officer|us nara office of the chief acquisition officer,US NARA Office of the Chief Acquisition Officer,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief of Management and Administration,Directorate/Office,,,United States,,,,,,,
nara office of the chief financial officer|us nara office of the chief financial officer,nara office of the chief financial officer|us nara office of the chief financial officer,US NARA Office of the Chief Financial Officer,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief of Management and Administration,Directorate/Office,,,United States,,,,,,,
legislative archives presidential libraries and museum services,legislative archives presidential libraries and museum services,"US Legislative Archives, Presidential Libraries, and Museum Services",US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief Operating Officer,Directorate/Office,,,United States,,,,,,,
nara agency services,nara agency services,US NARA Agency Services,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief Operating Officer,Directorate/Office,,,United States,,,,,,,
nara research services,nara research services,US NARA Research Services,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief Operating Officer,Directorate/Office,,,United States,,,,,,,
nara preservation programs division,nara preservation programs division,US NARA Preservation Programs Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Research Services,Division/Suboffice,,,United States,,,,,,,
nara archives i textual records division,nara archives i textual records division,US NARA Archives I Textual Records Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Research Services,Division/Suboffice,,,United States,,,,,,,
nara archives ii textual records division,nara archives ii textual records division,US NARA Archives II Textual Records Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Research Services,Division/Suboffice,,,United States,,,,,,,
nara field records division,nara field records division,US NARA Field Records Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Research Services,Division/Suboffice,,,United States,,,,,,,
nara personnel records division,nara personnel records division,US NARA Personnel Records Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Research Services,Division/Suboffice,,,United States,,,,,,,
nara electronic records division,nara electronic records division,US NARA Electronic Records Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Research Services,Division/Suboffice,,,United States,,,,,,,
nara special media records division,nara special media records division,US NARA Special Media Records Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Research Services,Division/Suboffice,,,United States,,,,,,,
nara digitization division,nara digitization division,US NARA Digitization Division,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Research Services,Division/Suboffice,,,United States,,,,,,,
office of the federal register,office of the federal register,US Office of the Federal Register,US Executive Branch,Independent Agency|US National Archives and Records Administration,US NARA Office of the Chief Operating Officer,Directorate/Office,ofr.gov|emergency-federal-register.gov,,United States,,,,,,,
nara congressional affairs office,nara congressional affairs office,US NARA Congressional Affairs Office,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Archives and Records Administration,Directorate/Office,,,United States,0,,0,https://www.archives.gov/congress,,,
nara equal employment opportunity,nara equal employment opportunity,US NARA Equal Employment Opportunity,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Archives and Records Administration,Directorate/Office,,neeo,United States,0,,0,https://www.archives.gov/files/eeo/,,,
nara office of the general counsel,nara office of the general counsel,US NARA Office of the General Counsel,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Archives and Records Administration,Directorate/Office,,,United States,0,,0,https://www.archives.gov/legal,,,
nara office of the inspector general,nara office of the inspector general,US NARA Office of the Inspector General,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Archives and Records Administration,Directorate/Office,,,United States,0,,0,https://www.archives.gov/oig,,,
national historical publications and records commission,national historical publications and records commission,US National Historical Publications & Records Commission,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Archives and Records Administration,Directorate/Office,,nhprc,United States,0,,0,https://www.archives.gov/nhprc,,,
us web harvesting,us web harvesting,US Congressional & Federal Government Web Harvests,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Archives and Records Administration Programs,NA,webharvest.gov,,United States,,,,,,,
us history hub,us history hub,US History Hub Crowdsourcing Platform,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Archives and Records Administration Programs,NA,history.gov,,United States,,,,,,,
us our documents,us our documents,US Our Documents,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Archives and Records Administration Programs,NA,ourdocuments.gov,,United States,,,,,,,
us archivist|us deputy archivist,us archivist|us deputy archivist,US Archivist/Deputy Archivist,US Executive Branch,Independent Agency|US National Archives and Records Administration,US National Historical Publications & Records Commission,Directorate/Office,,,United States,0,,0,,,,
obama presidential library,obama presidential library,Barack Obama Presidential Library,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,obamalibrary.gov,,United States,,,,,,,
eisenhower presidential library,eisenhower presidential library,Dwight D. Eisenhower Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,eisenhowerlibrary.gov,,United States,,,,,,,
roosevelt presidential library|fdr presidential library,roosevelt presidential library|fdr presidential library,Franklin D. Roosevelt Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,fdrlibrary.org,,United States,,,,,,,
george hw bush presidential library,george hw bush presidential library,George H.W. Bush Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,bush41library.gov,,United States,,,,,,,
george w bush presidential library,george w bush presidential library,George W. Bush Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,georgewbushlibrary.gov,,United States,,,,,,,
gerald r ford library and museum,gerald r ford library and museum,Gerald R. Ford Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,fordlibrarymuseum.gov,,United States,,,,,,,
truman presidential library,truman presidential library,Harry S. Truman Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,trumanlibrary.gov,,United States,,,,,,,
hoover presidential library|hoover presidential museum,hoover presidential library|hoover presidential museum,Herbert Hoover Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,hoover.archives.gov,,United States,,,,,,,
jimmy carter presidential library,jimmy carter presidential library,Jimmy Carter Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,jimmycarterlibrary.gov,,United States,,,,,,,
jfk presidential library|kennedy presidential library,jfk presidential library|kennedy presidential library,John F. Kennedy Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,jfklibrary.gov,,United States,,,,,,,
lyndon b johnson presidential library,lyndon b johnson presidential library,Lyndon B. Johnson Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,lbjlibrary.gov,,United States,,,,,,,
nixon presidential library,nixon presidential library,Richard Nixon Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,nixonlibrary.gov,,United States,,,,,,,
reagan presidential library,reagan presidential library,Ronald Reagan Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,reaganlibrary.gov,,United States,,,,,,,
william clinton presidential library|bill clinton presidential library,william clinton presidential library|bill clinton presidential library,William J. Clinton Presidential Library and Museum,US Executive Branch,Independent Agency|US National Archives and Records Administration,US Office of Presidential Libraries,Library/Museum,clintonlibrary.gov,,United States,,,,,,,
national science foundation,national science foundation,US National Science Foundation,US Executive Branch,Independent Agency|US National Science Foundation,NA,Department/Agency,nsf.gov|science360.gov,nsf,United States,0,,0,https://www.nsf.gov/staff/orglist.jsp,,,
nsf division of biological infrastructure,nsf division of biological infrastructure,US NSF Division of Biological Infrastructure,US Executive Branch,Independent Agency|US National Science Foundation,US Directorate for Biological Sciences,Division/Suboffice,,bio/dbi,United States,,,,,,,
nsf division of environmental biology,nsf division of environmental biology,US NSF Division of Environmental Biology,US Executive Branch,Independent Agency|US National Science Foundation,US Directorate for Biological Sciences,Division/Suboffice,,bio/deb,United States,,,,,,,
nsf division of integrative organismal systems,nsf division of integrative organismal systems,US NSF Division of Integrative Organismal Systems,US Executive Branch,Independent Agency|US National Science Foundation,US Directorate for Biological Sciences,Division/Suboffice,,bio/ios,United States,,,,,,,
nsf division of molecular and cellular biosciences,nsf division of molecular and cellular biosciences,US NSF Division of Molecular & Cellular Biosciences,US Executive Branch,Independent Agency|US National Science Foundation,US Directorate for Biological Sciences,Division/Suboffice,,bio/mcb,United States,,,,,,,
nsf emerging frontiers office,nsf emerging frontiers office,US NSF Emerging Frontiers Office,US Executive Branch,Independent Agency|US National Science Foundation,US Directorate for Biological Sciences,Division/Suboffice,,bio/ef,United States,,,,,,,
national science board,national science board,US National Science Board,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,nsb,United States,,,,,,,
nsf directorate for biological sciences,nsf directorate for biological sciences,US NSF Directorate for Biological Sciences,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,bio/oad,United States,,,,,,,
nsf directorate for computer and information science and engineering,nsf directorate for computer and information science and engineering,US NSF Directorate for Computer and Information Science & Engineering,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,cise/oad,United States,,,,,,,
nsf directorate for education and human resources,nsf directorate for education and human resources,US NSF Directorate for Education & Human Resources,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,ehr/oad,United States,,,,,,,
nsf directorate for engineering,nsf directorate for engineering,US NSF Directorate for Engineering,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,eng/oad,United States,,,,,,,
nsf directorate for geosciences,nsf directorate for geosciences,US NSF Directorate for Geosciences,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,geo/oad,United States,,,,,,,
nsf directorate for mathematical & physical sciences,nsf directorate for mathematical & physical sciences,US NSF Directorate for Mathematical & Physical Sciences,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,mps/oad,United States,,,,,,,
nsf directorate for social behavioral and economic sciences,nsf directorate for social behavioral and economic sciences,"US NSF Directorate for Social, Behavioral & Economic Sciences",US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,sbe/oad,United States,,,,,,,
nsf office of budget finance and award management,nsf office of budget finance and award management,"US NSF Office of Budget, Finance, and Award Management",US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,bfa/oad,United States,,,,,,,
nsf office of equity and civil rights,nsf office of equity and civil rights,US NSF Office of Equity and Civil Rights,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Division/Suboffice,,od/oecr,United States,,,,,,,
nsf office of information and resource management,nsf office of information and resource management,US NSF Office of Information & Resource Management,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,oirm/oad,United States,,,,,,,
nsf office of inspector general,nsf office of inspector general,US NSF Office of Inspector General,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,,United States,,,,,,,
nsf office of integrative activities,nsf office of integrative activities,US NSF Office of Integrative Activities,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Division/Suboffice,,od/oia,United States,,,,,,,
nsf office of international science and engineering,nsf office of international science and engineering,US NSF Office of International Science and Engineering,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Division/Suboffice,,od/oise,United States,,,,,,,
nsf office of legislative and public affairs,nsf office of legislative and public affairs,US NSF Office of Legislative and Public Affairs,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Division/Suboffice,,od/olpa,United States,,,,,,,
nsf office of the director,nsf office of the director,US NSF Office of the Director,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Directorate/Office,,,United States,,,,,,,
nsf office of the general counsel,nsf office of the general counsel,US NSF Office of the General Counsel,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,Division/Suboffice,,od/ogc,United States,,,,,,,
research.gov,research.gov,US research.gov,US Executive Branch,Independent Agency|US National Science Foundation,US National Science Foundation,NA,research.gov,,United States,,,,,,,
nsf division of computer and network systems,nsf division of computer and network systems,US NSF Division of Computer and Network Systems,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Computer and Information Science & Engineering,Division/Suboffice,,cise/cns,United States,,,,,,,
nsf division of computing and communication foundations,nsf division of computing and communication foundations,US NSF Division of Computing and Communication Foundations,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Computer and Information Science & Engineering,Division/Suboffice,,cise/ccf,United States,,,,,,,
nsf division of information and intelligent systems,nsf division of information and intelligent systems,US NSF Division of Information and Intelligent Systems,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Computer and Information Science & Engineering,Division/Suboffice,,cise/iis,United States,,,,,,,
nsf office of advanced cyberinfrastructure,nsf office of advanced cyberinfrastructure,US NSF Office of Advanced Cyberinfrastructure,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Computer and Information Science & Engineering,Division/Suboffice,,cise/oac,United States,,,,,,,
nsf division of graduate education,nsf division of graduate education,US NSF Division of Graduate Education,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Education & Human Resources,Division/Suboffice,,ehr/dge,United States,,,,,,,
nsf division of human resource development,nsf division of human resource development,US NSF Division of Human Resource Development,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Education & Human Resources,Division/Suboffice,,ehr/hrd,United States,,,,,,,
nsf division of research on learning in formal and informal settings,nsf division of research on learning in formal and informal settings,US NSF Division of Research on Learning in Formal and Informal Settings,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Education & Human Resources,Division/Suboffice,,ehr/drl,United States,,,,,,,
nsf division of undergraduate education,nsf division of undergraduate education,US NSF Division of Undergraduate Education,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Education & Human Resources,Division/Suboffice,,ehr/due,United States,,,,,,,
nsf division of chemical bioengineering environmental and transport systems,nsf division of chemical bioengineering environmental and transport systems,"US NSF Division of Chemical, Bioengineering, Environmental, and Transport Systems",US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Engineering,Division/Suboffice,,eng/cbet,United States,,,,,,,
nsf division of civil mechanical and manufacturing innovation,nsf division of civil mechanical and manufacturing innovation,"US NSF Division of Civil, Mechanical & Manufacturing Innovation",US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Engineering,Division/Suboffice,,eng/cmmi,United States,,,,,,,
nsf division of electrical communications and cyber systems,nsf division of electrical communications and cyber systems,"US NSF Division of Electrical, Communications & Cyber Systems",US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Engineering,Division/Suboffice,,eng/eccs,United States,,,,,,,
nsf division of engineering education and centers,nsf division of engineering education and centers,US NSF Division of Engineering Education & Centers,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Engineering,Division/Suboffice,,eng/eec,United States,,,,,,,
nsf division of industrial innovation and partnerships,nsf division of industrial innovation and partnerships,US NSF Division of Industrial Innovation & Partnerships,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Engineering,Division/Suboffice,,eng/iip,United States,,,,,,,
nsf office of emerging frontiers and multidisciplinary activities,nsf office of emerging frontiers and multidisciplinary activities,US NSF Office of Emerging Frontiers and Multidisciplinary Activities,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Engineering,Division/Suboffice,,eng/efma,United States,,,,,,,
nsf division of atmospheric and geospace sciences,nsf division of atmospheric and geospace sciences,US NSF Division of Atmospheric and Geospace Sciences,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Geosciences,Division/Suboffice,,geo/ags,United States,,,,,,,
nsf division of earth sciences,nsf division of earth sciences,US NSF Division of Earth Sciences,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Geosciences,Division/Suboffice,,geo/ear,United States,,,,,,,
nsf division of ocean sciences,nsf division of ocean sciences,US NSF Division of Ocean Sciences,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Geosciences,Division/Suboffice,,geo/oce,United States,,,,,,,
nsf office of polar programs,nsf office of polar programs,US NSF US Office of Polar Programs,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Geosciences,Division/Suboffice,,geo/opp,United States,,,,,,,
nsf division of astronomical sciences,nsf division of astronomical sciences,US NSF Division of Astronomical Sciences,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Mathematical & Physical Sciences,Division/Suboffice,,mps/ast,United States,,,,,,,
nsf division of chemistry,nsf division of chemistry,US NSF Division of Chemistry,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Mathematical & Physical Sciences,Division/Suboffice,,mps/che,United States,,,,,,,
nsf division of materials research,nsf division of materials research,US NSF Division of Materials Research,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Mathematical & Physical Sciences,Division/Suboffice,,mps/dmr,United States,,,,,,,
nsf division of mathematical sciences,nsf division of mathematical sciences,US NSF Division of Mathematical Sciences,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Mathematical & Physical Sciences,Division/Suboffice,,mps/dms,United States,,,,,,,
nsf division of physics,nsf division of physics,US NSF Division of Physics,US Executive Branch,Independent Agency|US National Science Foundation,US NSF Directorate for Mathematical & Physical Sciences,Division/Suboffice,,mps/phy,United States,,,,,,,
nsf division of behavioral and cognitive sciences,nsf division of behavioral and cognitive sciences,US NSF Division of Behavioral and Cognitive Sciences,US Executive Branch,Independent Agency|US National Science Foundation,"US NSF Directorate for Social, Behavioral & Economic Sciences",Division/Suboffice,,sbe/bcs,United States,,,,,,,
nsf division of social and economic sciences,nsf division of social and economic sciences,US NSF Division of Social and Economic Sciences,US Executive Branch,Independent Agency|US National Science Foundation,"US NSF Directorate for Social, Behavioral & Economic Sciences",Division/Suboffice,,sbe/ses,United States,,,,,,,
nsf national center for science and engineering statistics,nsf national center for science and engineering statistics,US NSF National Center for Science and Engineering Statistics,US Executive Branch,Independent Agency|US National Science Foundation,"US NSF Directorate for Social, Behavioral & Economic Sciences",Division/Suboffice,,sbe/ncses,United States,,,,,,,
